ID	start	end	transcription
GS-S2-C-0	0.13	0.568	はい
GS-S2-A-0	0.289	2.72	はい お願いします
GS-S2-B-0	1.362	1.896	お願いします
GS-S2-C-1	2.027	2.738	お願いします
GS-S2-D-0	3.209	4.416	お願いします
GS-S2-C-2	5.334	6.653	どうやって決めますかね これ
GS-S2-D-1	5.663	5.966	うん
GS-S2-B-1	5.974	6.152	ど
GS-S2-A-1	6.573	7.841	どうやって決めましょうか
GS-S2-A-2	8.252	8.791	じゃあ1番
GS-S2-A-3	9.059	10.076	1番だけ{LAUGH}決めます
GS-S2-A-4	10.076	11.284	{LAUGH}
GS-S2-D-2	10.8	11.551	一番だけ
GS-S2-A-5	12.004	12.706	1番とりあえず
GS-S2-B-2	12.418	14.375	とりあえず1番最優先ですかね
GS-S2-A-6	12.934	14.245	決めます どうやって決めよう
GS-S2-D-3	13.442	13.989	うんうんうん
GS-S2-A-7	14.245	15.349	{LAUGH}
GS-S2-C-3	14.535	15.3	{LAUGH}
GS-S2-D-4	15.104	15.224	うん
GS-S2-B-3	15.239	16.124	{LAUGH}
GS-S2-A-8	15.456	16.394	難しいですね
GS-S2-D-5	16.064	16.172	うん
GS-S2-B-4	17.077	17.982	正直 あの
GS-S2-D-6	17.76	18.211	うん
GS-S2-A-9	17.87	18.491	うーん
GS-S2-B-5	18.75	19.444	くまもん
GS-S2-B-6	19.995	20.241	とか
GS-S2-B-7	20.598	21.052	って一応
GS-S2-B-8	21.301	23.201	全部の世代には受けるとは思うんですよ
GS-S2-A-10	24.073	25.977	私も1番くまもんにしました
GS-S2-D-7	24.703	25.079	うん
GS-S2-B-9	26.254	26.585	あー
GS-S2-B-10	26.586	26.821	{LAUGH}
GS-S2-C-4	26.688	27.528	本当ですか{LAUGH}
GS-S2-D-8	26.806	26.952	うん
GS-S2-A-11	27.281	27.573	はい
GS-S2-D-9	27.309	27.875	本当すか
GS-S2-D-10	27.875	29.281	{LAUGH}
GS-S2-B-11	28.16	28.701	くまもん
GS-S2-A-12	28.164	28.491	はい
GS-S2-C-5	28.349	30.475	私は逆に12位とかにしたんですけど
GS-S2-B-12	28.701	28.825	{LAUGH}
GS-S2-D-11	29.663	29.798	うん
GS-S2-A-13	29.78	30.639	あホントですか
GS-S2-B-13	30.057	30.626	あー
GS-S2-C-6	31.073	32.916	なんかくまもんって好きだけど
GS-S2-C-7	33.192	35.176	わざわざくまもん見に来ないかなみたいな
GS-S2-A-14	35.951	36.419	うーん
GS-S2-B-14	36.026	38.066	どこでも見られる感じですか
GS-S2-D-12	36.28	36.612	うん
GS-S2-C-8	36.477	42.511	なんかグッズとかあるんで それ持ってるけど でもわー くまもんみたいな感じで行かないかな と思ったんですよね
GS-S2-D-13	42.249	44.211	そう くまもんはたぶんお金ださなくても いつも会え
GS-S2-A-15	42.26	42.849	うーん
GS-S2-D-14	44.415	45.409	会えるそう そうじゃないですか
GS-S2-A-16	45.65	46.569	うーん
GS-S2-B-15	45.819	46.5	うーん
GS-S2-D-15	46.128	47.367	わざわざお金出さなくても
GS-S2-C-9	46.744	47.554	そうですよ
GS-S2-C-10	48.244	50.15	あ これお金出す感じですかね
GS-S2-D-16	48.295	48.573	いや
GS-S2-B-16	49.499	50.986	お金出す感じですよね なんか
